user_id	item_id	time
94704	120385	1430622048174
81932	42100	1430622054461
96406	19089	1430622067070
7496	62911	1430622074535
30975	64451	1430622086481
115627	12661	1430622087996
30975	84536	1430622122785
111384	65621	1430622124584
81028	24032	1430622154356
7496	116460	1430622191370
81028	112027	1430622231863
28142	16425	1430622284504
115627	51244	1430622289382
81028	118086	1430622312158
101081	72278	1430622325414
81932	96146	1430622330806
30975	73377	1430622333233
28142	22591	1430622352193
115627	57935	1430622412300
87674	106114	1430622417240
35705	30776	1430622429503
78866	6327	1430622453281
81028	14273	1430622459202
35705	12864	1430622499153
78866	106320	1430622509629
78866	102931	1430622533226
81028	92525	1430622591111
78866	111916	1430622597950
115627	96979	1430622609678
115627	23300	1430622653528
81028	42379	1430622706111
94759	115778	1430622729297
51271	75066	1430622741041
91105	112447	1430622756884
113753	16753	1430622790487
94759	64166	1430622804062
694	85485	1430622862629
56115	53868	1430622874521
94759	20029	1430622886706
113753	119934	1430622888730
91105	16401	1430622938986
81028	30700	1430622950792
694	35952	1430622969151
113753	85374	1430623000561
60149	107983	1430623012992
51271	46050	1430623013726
60149	7836	1430623028898
60149	108174	1430623043574
91105	27545	1430623063595
32074	78866	1430623082311
50721	56738	1430623112039
52091	117847	1430623134309
10124	115197	1430623150639
52091	110002	1430623151355
91105	67734	1430623165746
113753	507	1430623209879
102071	99393	1430623220231
68228	55711	1430623224021
6250	91216	1430623258737
113753	36400	1430623276828
30454	81263	1430623279119
10124	19739	1430623356206
6250	12661	1430623359610
68228	12929	1430623368517
6930	107348	1430623393384
113753	93109	1430623409665
6250	67647	1430623422443
68228	103394	1430623431419
22039	115703	1430623437020
68228	34411	1430623479871
101081	49654	1430623488493
22039	78392	1430623510013
8973	25139	1430623518643
6250	93806	1430623519244
40667	19644	1430623538971
50721	18127	1430623553176
68228	91079	1430623563465
46517	11428	1430623564090
5843	62460	1430623631225
46517	70230	1430623648267
113753	88129	1430623664160
22039	93264	1430623665319
8973	82307	1430623697273
58072	72844	1430623699141
6250	87844	1430623729335
46517	63330	1430623738741
69143	69461	1430623743538
91245	65836	1430623772118
8973	84647	1430623776848
84677	6107	1430623776893
22039	44133	1430623794409
76013	107589	1430623806446
89975	52184	1430623819766
69143	87989	1430623821757
38885	45443	1430623822214
41234	12154	1430623835144
69143	63216	1430623852162
6250	3853	1430623858792
91981	38711	1430623859434
8973	51496	1430623860275
101227	34883	1430623861073
91245	50290	1430623868499
101227	64166	1430623883067
101227	81457	1430623884083
85635	41292	1430623885568
91245	72720	1430623886468
50678	47573	1430623891646
85635	49072	1430623924778
101081	65365	1430623928839
46517	77448	1430623933997
50678	76232	1430623965980
85635	92192	1430623974698
50678	22560	1430623979574
99197	77489	1430623982845
85635	52112	1430623998755
46517	54524	1430624004195
113884	93269	1430624054337
50678	86931	1430624062285
6250	52756	1430624072307
99197	85548	1430624096662
69507	9351	1430624122151
59522	90351	1430624144494
113753	33868	1430624149566
111553	94519	1430624164495
19541	19673	1430624166056
59339	113342	1430624178010
59339	62694	1430624186168
6250	54223	1430624190915
59339	6493	1430624195606
59339	16890	1430624204540
19541	117876	1430624215843
40667	52756	1430624216519
99197	57766	1430624216877
19541	99219	1430624219590
111553	5052	1430624220321
111553	49159	1430624234085
59339	553	1430624235010
6250	30171	1430624246367
5992	49114	1430624265494
108646	60271	1430624275411
6250	9344	1430624281598
111553	103377	1430624282228
108646	81826	1430624283698
108646	116533	1430624291209
69507	56844	1430624300830
36397	32919	1430624314862
6250	113305	1430624330783
8973	40436	1430624333007
113753	52290	1430624347072
69507	78798	1430624355523
36397	81239	1430624384685
16130	8203	1430624411802
36397	51401	1430624414015
25995	32699	1430624444162
6250	95664	1430624456431
34042	106137	1430624495400
16130	11775	1430624543758
5992	115232	1430624583214
76013	85920	1430624594805
12361	49293	1430624614388
6250	89798	1430624615406
53344	55297	1430624615594
78593	99825	1430624624037
85635	49418	1430624635450
76013	18176	1430624638388
113884	51100	1430624653827
25995	30183	1430624655643
88933	90684	1430624661723
76013	100005	1430624662454
16130	49556	1430624665930
45174	99504	1430624686089
109346	79030	1430624687481
78593	102324	1430624698187
6250	7172	1430624698296
85635	98628	1430624717968
78593	109689	1430624723820
6250	46050	1430624741003
85635	78835	1430624796488
85635	58594	1430624806014
36397	2616	1430624821860
6250	70678	1430624830023
25995	104498	1430624833049
109346	69254	1430624892371
50721	12884	1430624903847
68228	51603	1430624908560
50721	75098	1430624928687
53344	44796	1430624935164
6250	53281	1430624938629
29289	94016	1430624938895
85635	51072	1430624940333
6250	76719	1430625017645
112789	28084	1430625034210
85635	61857	1430625052901
78593	24314	1430625067563
34124	114978	1430625077963
29289	117914	1430625128097
109346	57014	1430625135169
112789	67515	1430625136736
68264	52429	1430625148256
53344	105220	1430625150951
29289	74289	1430625161150
29289	48405	1430625184904
36397	109752	1430625188763
103736	93269	1430625200594
29289	7897	1430625200749
5992	61470	1430625207202
6250	31874	1430625214608
29289	78486	1430625222267
79794	32889	1430625253200
68228	60091	1430625257726
50721	8929	1430625286786
50721	117968	1430625307210
82055	75352	1430625310647
78593	117585	1430625314378
45784	17380	1430625325918
68228	75970	1430625352682
45784	81272	1430625366743
68228	79709	1430625384089
45784	3163	1430625388178
100283	115882	1430625449774
77990	17682	1430625449907
25356	54720	1430625452811
25356	45084	1430625476524
65381	107277	1430625476792
94622	112256	1430625570462
72957	28045	1430625572878
68228	119776	1430625580789
109346	11571	1430625592114
115434	59519	1430625610533
36397	27225	1430625615264
105929	109472	1430625640460
68228	96944	1430625660664
65381	46680	1430625665432
65381	32219	1430625691517
12406	82696	1430625798949
19080	54623	1430625877245
39902	78720	1430625945325
14022	36483	1430625948709
51374	8081	1430625956757
39902	7505	1430625981085
51374	112667	1430625985369
36397	80041	1430625994248
72957	58064	1430625997422
39902	60170	1430626022039
57878	85792	1430626076260
35705	72036	1430626088424
46517	64178	1430626090618
64508	5912	1430626091947
51374	54584	1430626092948
25995	46571	1430626114778
49916	91714	1430626128998
98394	16954	1430626130641
87004	26870	1430626135174
33416	117023	1430626163746
25995	45846	1430626179353
29958	27750	1430626188354
104408	69543	1430626193608
98394	63104	1430626206094
33416	71917	1430626212823
87004	91278	1430626217228
98394	56778	1430626239526
115216	56196	1430626265805
90173	2520	1430626279426
33416	86536	1430626287686
87004	4447	1430626305995
11053	107834	1430626306667
78593	27624	1430626337250
57661	100416	1430626352154
98572	118123	1430626363159
25995	61648	1430626366541
98572	64964	1430626395282
98572	120570	1430626410302
86713	41303	1430626426081
87004	86616	1430626426916
98572	75102	1430626430266
25995	15988	1430626447051
64508	100839	1430626461836
87004	63208	1430626501343
64508	86932	1430626505463
97147	86723	1430626515222
104408	4896	1430626522881
86713	89376	1430626526012
51374	56620	1430626539344
5992	84158	1430626540300
25995	71708	1430626548405
25995	35826	1430626581451
25995	83746	1430626595827
87004	28942	1430626617952
73830	60167	1430626633447
87004	103343	1430626663209
25995	121064	1430626684032
25995	88011	1430626711726
47362	112760	1430626717340
86713	46395	1430626719581
25995	107923	1430626725117
90173	110027	1430626725599
73098	103440	1430626742130
64508	4382	1430626787140
46517	47712	1430626805083
64296	62768	1430626807245
25995	77781	1430626846986
41438	80203	1430626847571
64296	14310	1430626853474
47362	61164	1430626854850
94622	46602	1430626861227
90173	92845	1430626866215
46517	11331	1430626877213
108442	50422	1430626894672
64508	109856	1430626900186
75911	105799	1430626907385
108442	54572	1430626916450
25995	108988	1430626916983
90173	106270	1430626924727
25995	46835	1430626927715
64296	10065	1430626965207
94622	54909	1430626987726
39950	101139	1430626999789
25995	62542	1430627014544
47362	15059	1430627025185
64296	69904	1430627031939
44940	114818	1430627046639
25995	18862	1430627062066
25995	12238	1430627139560
94622	113825	1430627141068
42502	54404	1430627168172
94622	98719	1430627176145
25995	24967	1430627193830
42502	113860	1430627196871
115357	31905	1430627221191
25995	44306	1430627240558
109633	114669	1430627272529
115434	53451	1430627274956
67025	36808	1430627276030
94622	95328	1430627289955
109633	24671	1430627324624
73417	83174	1430627333025
25995	31041	1430627334318
105929	110682	1430627362331
109633	89021	1430627379646
68944	29010	1430627392467
79834	42098	1430627395222
73417	56805	1430627397465
47002	58245	1430627411318
68944	47917	1430627420151
24099	61382	1430627432488
47002	77170	1430627438412
94622	66157	1430627452678
68944	58089	1430627470952
109633	56115	1430627499961
68944	93946	1430627501137
90304	46494	1430627506795
67025	1334	1430627513889
67025	86033	1430627520505
67025	21364	1430627525119
67025	14165	1430627525119
67025	82514	1430627527735
94622	24804	1430627529072
25995	24254	1430627533100
47002	110498	1430627556445
37424	29835	1430627557933
63967	19884	1430627558155
109633	30488	1430627592919
47002	22720	1430627611416
79824	31473	1430627629669
90304	49693	1430627632844
79824	19884	1430627641265
94622	41846	1430627659568
79824	23134	1430627664132
32187	15282	1430627685252
25995	99393	1430627685456
109633	45485	1430627725193
90304	113720	1430627731269
25995	1640	1430627733421
31260	31341	1430627740229
3351	117205	1430627753317
47002	20761	1430627756172
115357	4247	1430627762285
25995	38711	1430627778786
79824	66793	1430627793467
62582	50336	1430627812917
64591	20809	1430627822167
25995	99408	1430627836222
24099	13473	1430627847171
62582	6058	1430627883263
115357	56316	1430627902344
94622	110328	1430627907933
25995	89264	1430627927049
62582	14740	1430627933804
115434	38423	1430627936453
81166	22912	1430627956083
24099	40999	1430627962408
115357	72639	1430627966758
81166	67983	1430627966781
85875	57319	1430627966852
25995	42657	1430627990991
95776	99615	1430627992822
62582	113912	1430628012213
35073	105094	1430628037792
43605	70013	1430628048951
95776	36690	1430628058444
43605	48679	1430628066924
115434	76478	1430628086155
94622	24648	1430628093510
110878	120915	1430628111939
35073	35370	1430628119500
42502	69848	1430628141872
47002	17422	1430628162056
46517	87335	1430628174208
42502	30183	1430628205423
51374	76534	1430628220717
111995	24184	1430628224420
169	35242	1430628229667
46517	113359	1430628237158
94622	3880	1430628241516
25995	52561	1430628257933
35073	1842	1430628276638
110878	93701	1430628292708
169	41774	1430628318134
85875	81966	1430628334951
35691	102962	1430628397925
110878	22667	1430628414234
35073	86614	1430628486147
92099	5225	1430628501226
169	102096	1430628515678
92099	68543	1430628546547
169	58246	1430628565694
92099	33807	1430628578690
68701	17577	1430628581944
68701	65264	1430628585007
68701	49558	1430628587956
68701	87991	1430628592961
44940	98488	1430628595707
94622	7778	1430628600282
92099	84360	1430628639100
82321	96062	1430628641878
94622	56192	1430628650676
92099	89732	1430628661838
92099	119884	1430628690978
31260	117023	1430628721673
51374	46801	1430628733959
92099	76326	1430628743836
64591	111297	1430628760759
35691	121040	1430628776151
100791	66800	1430628778908
29076	119226	1430628793454
63547	67309	1430628812875
68701	9024	1430628869964
169	68134	1430628904683
63547	57533	1430628906144
51271	21960	1430628966114
21072	26333	1430628980683
94622	37652	1430628986058
30902	90520	1430628988033
43763	30183	1430628988807
169	90642	1430628990294
31260	114802	1430629031108
33363	46400	1430629050875
94622	37815	1430629080664
43763	50867	1430629087961
82321	51145	1430629133160
111767	80731	1430629144142
33363	9611	1430629147361
43763	17458	1430629153653
94622	42585	1430629167865
35691	77539	1430629179598
66719	53784	1430629180989
33363	41334	1430629207967
93019	72328	1430629219008
43763	42261	1430629222714
66719	27600	1430629234389
102071	61317	1430629237067
66719	9176	1430629261002
43763	33886	1430629313866
33363	18773	1430629327222
93019	105992	1430629337662
15228	40194	1430629346220
115923	79601	1430629353707
35691	31511	1430629365881
94622	59402	1430629384828
93019	113997	1430629385658
21072	79195	1430629392510
79834	105315	1430629519851
93019	57557	1430629523233
79834	91965	1430629526635
79834	29998	1430629527632
79834	101780	1430629529710
93019	52112	1430629565602
15228	13943	1430629572001
57393	87825	1430629572254
93019	92192	1430629575875
57393	39764	1430629585725
33594	38528	1430629593381
57393	59484	1430629603746
15650	35463	1430629652593
79834	92313	1430629670870
115923	2922	1430629678949
64591	105610	1430629699250
47844	113773	1430629732803
79834	11953	1430629768815
57580	74800	1430629804860
33594	41156	1430629810939
79834	35955	1430629841107
15650	32015	1430629845231
15650	49173	1430629859478
23392	78943	1430629864759
26780	114625	1430629873017
35691	13392	1430629897682
60898	113569	1430629898647
31070	17394	1430629909383
79834	21405	1430629917719
33594	95971	1430629928386
43763	86292	1430629933789
26780	15995	1430629994079
57580	9971	1430630005839
43763	16203	1430630049016
81702	116441	1430630051021
100791	99501	1430630051146
32187	11759	1430630068758
23392	96165	1430630084283
33594	99453	1430630092322
23392	84105	1430630151513
39950	17184	1430630166960
23392	68322	1430630220903
115923	69873	1430630234097
81702	58482	1430630280711
99239	66697	1430630286438
31070	40595	1430630318215
115055	110327	1430630339465
115055	83795	1430630360009
15228	67243	1430630361033
81702	108252	1430630385506
99776	57132	1430630395903
115055	23499	1430630405098
99776	73845	1430630422779
48938	34956	1430630424662
57469	23433	1430630440111
115055	93380	1430630453261
48938	117088	1430630462025
57469	51411	1430630468368
115055	44620	1430630485778
57469	38628	1430630507200
100791	30679	1430630520408
115055	6011	1430630521785
82321	86919	1430630522770
100944	69082	1430630526107
92532	118524	1430630548352
31070	8307	1430630550601
115055	74828	1430630571594
91920	78866	1430630587172
92532	66774	1430630592489
107108	57438	1430630602007
107108	64462	1430630602541
107108	24616	1430630606555
115055	56971	1430630611641
99776	78291	1430630638285
169	43270	1430630645149
99776	59131	1430630646232
99776	30373	1430630651248
99776	103092	1430630658280
99776	65900	1430630662139
99776	45855	1430630666175
84813	73513	1430630668357
116104	98706	1430630678594
169	53124	1430630690902
116104	91614	1430630711336
91920	118092	1430630712025
115055	35529	1430630725025
99776	93922	1430630740270
91920	55784	1430630742764
38903	48470	1430630746448
169	5803	1430630763138
169	24214	1430630770353
99776	84094	1430630782771
99776	25075	1430630790499
49472	98998	1430630792887
79824	39781	1430630803454
115055	103475	1430630807212
49472	55965	1430630809998
64591	75484	1430630814709
49472	62526	1430630826343
38903	43027	1430630840201
99776	18454	1430630870954
29712	1827	1430630892568
115055	30458	1430630902530
115055	71230	1430630924434
115055	51881	1430630935505
66020	78536	1430630944874
57661	116615	1430630963349
29712	29162	1430631001589
29712	95084	1430631008539
19419	35024	1430631035103
58795	77651	1430631046284
31348	28678	1430631054525
99776	26820	1430631056328
99776	90515	1430631060816
66020	15971	1430631076205
66020	111926	1430631087314
19419	71561	1430631119846
21224	118105	1430631166893
33594	69838	1430631198066
96079	50875	1430631204897
58795	16161	1430631265930
84009	18530	1430631299816
96079	82748	1430631321006
82321	92770	1430631332110
33829	69348	1430631361900
33829	61699	1430631407815
31348	7832	1430631411536
96079	71545	1430631415829
33829	66630	1430631474573
57661	10120	1430631535735
82321	69703	1430631550344
65623	47625	1430631563469
44459	22107	1430631619403
104830	67440	1430631658862
104830	61339	1430631705769
23817	13132	1430631740008
73092	35780	1430631763843
84009	13148	1430631766505
104830	42558	1430631791120
38270	67428	1430631794191
169	98937	1430631806731
388	96979	1430631812791
169	42476	1430631813312
59941	1498	1430631819237
38270	72428	1430631822097
169	31953	1430631823007
58795	38968	1430631829723
38270	28262	1430631834099
169	63759	1430631835068
169	1830	1430631844043
169	84756	1430631860336
2243	30038	1430631865385
169	92617	1430631871563
86295	63568	1430631875843
59941	103456	1430631881444
169	68960	1430631883703
84009	38125	1430631883941
14653	25251	1430631887744
388	110386	1430631888213
59941	19069	1430631905140
86295	51538	1430631908013
20019	74641	1430631920036
14653	43959	1430631946994
104408	78882	1430631968344
14653	92206	1430631981089
8939	35791	1430631996127
388	16503	1430632022377
75918	83949	1430632049596
8939	60270	1430632062533
388	8315	1430632085445
8939	94616	1430632090596
